1.964374005715720795e-01 7.492185234317942921e-01 9.456559240033663993e-01
2.346258438384324629e-01 7.112781736212351325e-01 9.459040174596675676e-01
2.286984540993564907e-01 7.167452225439751023e-01 9.454436766433316208e-01
1.898617025797844915e-01 1.037269130393518868e-01 2.935886156191364060e-01
2.006050964818595073e-01 1.313659216477719716e-01 3.319710181296314788e-01
1.796431296441890202e-01 6.843677860172455718e-01 8.640109156614346198e-01
1.964682723931298891e-01 1.246226958019668873e-01 3.210909681950967487e-01
1.914052936576685626e-01 1.067180796319326802e-01 2.981233732896012567e-01
9.980859909600703350e-02 1.214638804816172923e+00 1.314447403912180068e+00
1.381822732922134700e-01 8.443006488419070588e-02 2.226123381764041897e-01
1.457149977522899376e-01 9.152731168094678516e-02 2.372423094332367088e-01
1.680970683816139788e-01 9.823612980101241454e-02 2.663331981826264072e-01
1.661830154450371355e-01 9.876943504185570211e-02 2.649524504868928654e-01
2.315695335042220193e-01 5.704134956028651393e-01 8.019830291070871864e-01
1.493270008745392619e-01 9.100017362091665507e-02 2.403271744954559308e-01
1.674796319504604225e-01 1.005920950814645359e-01 2.680717270319249446e-01
1.731909189386326153e-01 1.014584248037145309e-01 2.746493437423471740e-01
1.568597253346152576e-01 9.780419173198522387e-01 1.134901642654467580e+00
1.956656050326296137e-01 9.176246488303902993e-01 1.113290253863019830e+00
1.712768660020556333e-01 1.028116004168923431e-01 2.740884664189479625e-01
1.610274212449033238e-01 9.050617915018922821e-02 2.515336003950925381e-01
2.128920814618197321e-01 8.446238524796026992e-01 1.057515933941422404e+00
1.751049718752092088e-01 9.741451608753452784e-02 2.725194879627437228e-01
1.905717544756110049e-01 1.174967537240583226e-01 3.080685081996693553e-01
2.859348112673107956e-01 7.039152356160019997e-01 9.898500468833127952e-01
1.870214949964766615e-01 1.001555760742147277e-01 2.871770710706914032e-01
1.656890663001142072e-01 9.246142785568056688e-02 2.581504941557947741e-01
2.237589626501256534e-01 1.165252318553189337e-01 3.402841945054445594e-01
2.297172242107597961e-01 1.290909039288072602e-01 3.588081281395670841e-01
2.217522942488762416e-01 1.124839273046077670e-01 3.342362215534839809e-01
